iter	Passed	Remaining
690	1025	458
691	1026	457
692	1028	455
693	1029	453
694	1030	452
695	1031	450
696	1032	448
697	1034	447
698	1035	445
699	1037	444
700	1038	442
701	1039	441
702	1040	439
703	1041	438
704	1043	436
705	1044	434
706	1045	433
707	1046	431
708	1048	430
709	1050	429
710	1052	427
711	1053	426
712	1055	424
713	1056	423
714	1058	421
715	1059	420
716	1061	418
717	1063	417
718	1066	416
719	1067	415
720	1069	413
721	1070	412
722	1072	410
723	1073	409
724	1074	407
725	1075	406
726	1077	404
727	1078	403
728	1080	401
729	1081	400
730	1083	398
731	1084	397
732	1085	395
733	1086	393
734	1088	392
735	1089	390
736	1090	389
737	1092	387
738	1094	386
739	1095	385
740	1097	383
741	1098	382
742	1100	380
743	1102	379
744	1103	377
745	1104	376
746	1106	374
747	1107	373
748	1109	371
749	1110	370
750	1112	368
751	1113	367
752	1114	365
753	1115	364
754	1117	362
755	1118	361
756	1120	359
757	1121	358
758	1124	357
759	1126	355
760	1127	354
761	1129	352
762	1130	351
763	1132	349
764	1133	348
765	1134	346
766	1135	344
767	1136	343
768	1137	341
769	1139	340
770	1140	338
771	1142	337
772	1143	335
773	1144	334
774	1145	332
775	1146	331
776	1148	329
777	1149	327
778	1150	326
779	1151	324
780	1152	323
781	1153	321
782	1155	320
783	1156	318
784	1157	316
785	1158	315
786	1159	313
787	1160	312
788	1161	310
789	1162	309
790	1163	307
791	1164	305
792	1165	304
793	1166	302
794	1167	301
795	1168	299
796	1169	297
797	1170	296
798	1171	294
799	1172	293
800	1173	291
801	1174	289
802	1175	288
803	1176	286
804	1177	285
805	1178	283
806	1179	282
807	1180	280
808	1181	278
809	1182	277
810	1184	275
811	1185	274
812	1186	272
813	1187	271
814	1188	269
815	1189	268
816	1190	266
817	1191	265
818	1192	263
819	1193	261
820	1194	260
821	1195	258
822	1196	257
823	1197	255
824	1198	254
825	1200	252
826	1201	251
827	1202	249
828	1203	248
829	1204	246
830	1205	245
831	1206	243
832	1207	242
833	1208	240
834	1209	238
835	1210	237
836	1211	235
837	1212	234
838	1213	232
839	1214	231
840	1215	229
841	1216	228
842	1217	226
843	1218	225
844	1219	223
845	1220	222
846	1221	220
847	1222	219
848	1223	217
849	1224	216
850	1225	214
851	1226	213
852	1227	211
853	1228	210
854	1229	208
855	1231	207
856	1232	205
857	1233	204
858	1234	202
859	1235	201
860	1236	199
861	1237	198
862	1238	196
863	1239	195
864	1240	193
865	1241	192
866	1242	190
867	1243	189
868	1245	187
869	1246	186
870	1247	184
871	1248	183
872	1249	181
873	1250	180
874	1251	178
875	1252	177
876	1253	175
877	1254	174
878	1255	172
879	1256	171
880	1257	169
881	1258	168
882	1259	166
883	1261	165
884	1263	164
885	1264	162
886	1265	161
887	1266	159
888	1267	158
889	1268	156
890	1269	155
891	1270	153
892	1271	152
893	1272	150
894	1273	149
895	1274	147
896	1275	146
897	1276	145
898	1277	143
899	1278	142
900	1279	140
901	1280	139
902	1281	137
903	1282	136
904	1283	134
905	1284	133
906	1285	131
907	1286	130
908	1287	128
909	1287	127
910	1289	125
911	1290	124
912	1291	123
913	1292	121
914	1293	120
915	1294	118
916	1295	117
917	1296	115
918	1297	114
919	1298	112
920	1298	111
921	1299	109
922	1300	108
923	1301	107
924	1302	105
925	1303	104
926	1304	102
927	1305	101
928	1306	99
929	1307	98
930	1308	96
931	1309	95
932	1310	94
933	1311	92
934	1311	91
935	1312	89
936	1313	88
937	1314	86
938	1315	85
939	1316	84
940	1317	82
941	1318	81
942	1319	79
943	1320	78
944	1321	76
945	1322	75
946	1323	74
947	1324	72
948	1325	71
949	1326	69
950	1327	68
951	1328	66
952	1329	65
953	1330	64
954	1331	62
955	1332	61
956	1333	59
957	1334	58
958	1335	57
959	1336	55
960	1337	54
961	1338	52
962	1339	51
963	1340	50
964	1340	48
965	1341	47
966	1342	45
967	1343	44
968	1344	43
969	1345	41
970	1346	40
971	1347	38
972	1348	37
973	1349	36
974	1350	34
975	1351	33
976	1352	31
977	1353	30
978	1354	29
979	1355	27
980	1356	26
981	1357	24
982	1358	23
983	1358	22
984	1359	20
985	1360	19
986	1361	17
987	1362	16
988	1363	15
989	1364	13
990	1365	12
991	1366	11
992	1367	9
993	1368	8
994	1369	6
995	1370	5
996	1371	4
997	1372	2
998	1373	1
999	1373	0
